Counter;Images;;;
4;20171119,20171121,20171126,;20171121,20171126,20171206,;20171126,20171206,20171209,;20171206,20171209,20171214,
4;20170103,20170110,20170202,;20170110,20170202,20170209,;20170202,20170209,20170219,;20170209,20170219,20170311,
1;20170612,20170619,20170629,;;;
1;20170602,20170612,20170619,;;;
1;20170619,20170629,20170702,;;;
1;20170629,20170702,20170707,;;;
1;20170702,20170707,20170717,;;;
1;20170530,20170602,20170612,;;;
1;20170707,20170717,20170719,;;;
1;20170523,20170530,20170602,;;;
1;20170513,20170523,20170530,;;;
1;20170717,20170719,20170722,;;;
1;20170719,20170722,20170729,;;;
1;20170722,20170729,20170806,;;;
1;20170729,20170806,20170813,;;;
1;20170510,20170513,20170523,;;;
1;20170430,20170510,20170513,;;;
1;20170806,20170813,20170818,;;;
1;20170813,20170818,20170821,;;;
1;20170818,20170821,20170823,;;;
1;20170821,20170823,20170826,;;;
1;20170823,20170826,20170910,;;;
1;20170423,20170430,20170510,;;;
1;20170420,20170423,20170430,;;;
1;20170410,20170420,20170423,;;;
1;20170826,20170910,20170917,;;;
1;20170403,20170410,20170420,;;;
1;20170314,20170403,20170410,;;;
1;20170910,20170917,20170927,;;;
1;20171030,20171101,20171114,;;;
1;20171101,20171114,20171119,;;;
1;20171114,20171119,20171121,;;;
1;20170311,20170314,20170403,;;;
1;20170917,20170927,20171005,;;;
1;20170219,20170311,20170314,;;;
1;20170927,20171005,20171007,;;;
1;20171005,20171007,20171015,;;;
1;20171027,20171030,20171101,;;;
1;20171007,20171015,20171017,;;;
1;20171015,20171017,20171025,;;;
1;20171017,20171025,20171027,;;;
1;20171025,20171027,20171030,;;;
